1;0.96055;2;1;1
1;0.94989;2;2;1
1;0.94882;2;3;1
1;1.191;2;4;1
1;0.98093;1;5;1
1;0.98359;1;6;1
1;0.93582;1;7;1
1;0.9272;1;8;1
2;0.90046;2;1;1
2;0.91136;2;2;1
2;0.90958;2;3;1
2;0.9726;2;4;1
2;0.92898;1;5;1
2;0.92075;1;6;1
2;0.92417;1;7;1
2;0.85654;1;8;1
3;0.81618;2;1;1
3;0.82034;2;2;1
3;0.85454;2;3;1
3;0.81282;2;4;1
3;0.82958;1;5;1
3;0.80657;1;6;1
3;0.82373;1;7;1
3;0.79633;1;8;1
4;0.9554;2;1;1
4;0.954;2;2;1
4;0.94122;2;3;1
4;0.9466;2;4;1
4;0.93836;1;5;1
4;0.9536;1;6;1
4;0.93624;1;7;1
4;0.89787;1;8;1
5;0.67739;2;1;1
5;0.99591;2;2;1
5;0.97482;2;3;1
5;0.95515;2;4;1
5;1.284;1;5;1
5;0.99643;1;6;1
5;1.164;1;7;1
5;0.96104;1;8;1
6;1.565;2;1;1
6;1.945;2;2;1
6;1.894;2;3;1
6;1.877;2;4;1
6;1.169;1;5;1
6;0.7099;1;6;1
6;1.119;1;7;1
6;1.845;1;8;1
7;0.91444;2;1;1
7;0.94429;2;2;1
7;0.92388;2;3;1
7;0.96818;2;4;1
7;1.411;1;5;1
7;0.99989;1;6;1
7;0.98727;1;7;1
7;0.91872;1;8;1
8;0.99005;2;1;1
8;0.96941;2;2;1
8;1.371;2;3;1
8;1.11;2;4;1
8;0.67876;1;5;1
8;0.9519;1;6;1
8;0.98492;1;7;1
8;0.9072;1;8;1
9;0.85496;2;1;1
9;0.85119;2;2;1
9;0.84905;2;3;1
9;0.83847;2;4;1
9;0.85885;1;5;1
9;0.86457;1;6;1
9;0.84542;1;7;1
9;0.81086;1;8;1
10;1.194;2;1;1
10;1.981;2;2;1
10;1.099;2;3;1
10;1.852;2;4;1
10;1.712;1;5;1
10;1.351;1;6;1
10;1.358;1;7;1
10;1.008;1;8;1
11;0.72657;2;1;1
11;0.77156;2;2;1
11;0.73022;2;3;1
11;0.73658;2;4;1
11;0.72165;1;5;1
11;0.73034;1;6;1
11;0.69881;1;7;1
11;0.70768;1;8;1
12;1.194;2;1;1
12;1.962;2;2;1
12;1.493;2;3;1
12;0.9988;2;4;1
12;1.022;1;5;1
12;1.501;1;6;1
12;1.874;1;7;1
12;1.535;1;8;1
13;0.98835;2;1;2
13;1.062;2;2;2
13;0.99641;2;3;2
13;0.99584;2;4;2
13;1.008;1;5;2
13;0.95165;1;6;2
13;0.97923;1;7;2
13;0.95475;1;8;2
14;0.86128;2;1;2
14;0.83638;2;2;2
14;0.83367;2;3;2
14;0.8465;2;4;2
14;0.81017;1;5;2
14;0.80553;1;6;2
14;0.7778;1;7;2
14;0.77514;1;8;2
15;1.143;2;1;2
15;1.821;2;2;2
15;0.5667;2;3;2
15;1.463;2;4;2
15;1.828;1;5;2
15;0.9887;1;6;2
15;0.5445;1;7;2
15;0.788;1;8;2
16;0.854;2;1;2
16;0.82826;2;2;2
16;0.8472;2;3;2
16;0.88932;2;4;2
16;0.87249;1;5;2
16;0.85101;1;6;2
16;0.79992;1;7;2
16;0.78754;1;8;2
17;0.85592;2;1;2
17;0.83712;2;2;2
17;0.83145;2;3;2
17;0.83439;2;4;2
17;0.9103;1;5;2
17;0.8693;1;6;2
17;0.83515;1;7;2
17;0.83818;1;8;2
18;0.79726;2;1;2
18;0.81552;2;2;2
18;0.84775;2;3;2
18;0.82331;2;4;2
18;0.83085;1;5;2
18;0.80986;1;6;2
18;0.80476;1;7;2
18;0.78132;1;8;2
19;1.484;2;1;2
19;1.372;2;2;2
19;1.483;2;3;2
19;1.599;2;4;2
19;1.06;1;5;2
19;0.98079;1;6;2
19;0.98588;1;7;2
19;0.97748;1;8;2
20;0.77876;2;1;2
20;0.9987;2;2;2
20;1.774;2;3;2
20;1.213;2;4;2
20;0.8722;1;5;2
20;1.264;1;6;2
20;1.553;1;7;2
20;1.007;1;8;2
21;0.92588;2;1;2
21;0.93242;2;2;2
21;0.94739;2;3;2
21;0.98759;2;4;2
21;0.94226;1;5;2
21;0.91853;1;6;2
21;0.90302;1;7;2
21;0.91927;1;8;2
22;1.005;2;1;2
22;0.96606;2;2;2
22;0.99549;2;3;2
22;1.433;2;4;2
22;1.133;1;5;2
22;0.67888;1;6;2
22;1.047;1;7;2
22;0.97479;1;8;2
23;0.87248;2;1;2
23;0.88578;2;2;2
23;0.88123;2;3;2
23;0.93331;2;4;2
23;0.89179;1;5;2
23;0.86825;1;6;2
23;0.90763;1;7;2
23;0.84633;1;8;2
24;0.85178;2;1;2
24;0.88012;2;2;2
24;0.90336;2;3;2
24;0.94014;2;4;2
24;0.8948;1;5;2
24;0.90827;1;6;2
24;0.89817;1;7;2
24;0.84921;1;8;2